Entity,Year,CO2_per_capita,Population,Poverty_rate
Dominican Republic,2012,2.1106217,10070376,3.848862
Dominican Republic,2013,2.0862682,10193781,2.9718232
Dominican Republic,2014,2.1133895,10315473,3.3559256
Dominican Republic,2015,2.251567,10434772,2.534987
Dominican Republic,2016,2.3356724,10551381,2.0301723
Dominican Republic,2017,2.251558,10666801,1.0015452
Dominican Republic,2018,2.3888187,10781998,0.8355344
Dominican Republic,2019,2.6046193,10893988,0.83268654
Dominican Republic,2020,2.4541068,11008252,0.95941836
Dominican Republic,2021,2.7721057,11123434,0.85372853
Dominican Republic,2022,2.7096121,11230686,0.75717556
East Timor,2001,0.14632374,812199,40.91249
East Timor,2007,0.28667518,1004855,40.878075
East Timor,2014,0.52819455,1181877,24.443077
Ecuador,1994,1.2580605,11372139,17.128565
Ecuador,1999,1.7622209,12470759,21.815004
Ecuador,2000,1.6492264,12689159,28.154139
Ecuador,2003,2.0244603,13372246,14.815193
Ecuador,2004,2.149964,13608650,15.062325
Ecuador,2005,2.2092562,13846112,11.803507
Ecuador,2006,2.1077354,14086093,8.153784
Ecuador,2007,2.3923388,14328733,8.518901
Ecuador,2008,2.07987,14575156,7.5139523
Ecuador,2009,2.266208,14825912,7.3105
Ecuador,2010,2.4061325,15076646,5.678202
Ecuador,2011,2.4966385,15326174,4.6691976
Ecuador,2012,2.4022887,15572144,4.463145
Ecuador,2013,2.5086834,15807087,3.2410893
Ecuador,2014,2.7272305,16035075,2.6356108
Ecuador,2015,2.53752,16266173,3.4400663
Ecuador,2016,2.3845396,16505094,3.5750275
Ecuador,2017,2.3374374,16759466,3.2132533
Ecuador,2018,2.2539744,17049489,3.3114905
Ecuador,2019,2.3103745,17339967,3.5835843
Ecuador,2020,1.8756075,17546006,6.519245
Ecuador,2021,2.16058,17682398,3.5831802
Ecuador,2022,2.2734714,17823857,3.1807919
Ecuador,2023,2.4011562,17980034,3.7984307
Egypt,1990,1.2880467,58396583,5.23
Egypt,1995,1.5078541,65652570,2.035
Egypt,2004,1.9197372,79477386,3.1076138
Egypt,2008,2.3027816,85864736,2.871903
Egypt,2010,2.282698,89196017,1.037314
Egypt,2012,2.2942393,93160949,0.8900781
Egypt,2015,2.253874,99597285,0.9060302
Egypt,2017,2.513841,103696006,2.5048509
Egypt,2019,2.4057102,107553107,1.4670148
El Salvador,1989,0.4807094,5298931,19.428
El Salvador,1991,0.57410294,5495037,22.060562
El Salvador,1995,0.8674569,5762080,13.2593
El Salvador,1996,0.7604334,5805229,15.262267
El Salvador,1998,0.9745682,5880746,21.031042
El Salvador,1999,0.9448764,5913852,17.251175
El Salvador,2000,0.9541774,5943313,12.942934
El Salvador,2001,0.98146486,5968013,14.104641
El Salvador,2002,1.0139154,5986577,14.728867
El Salvador,2003,1.0727347,5998548,15.813787
El Salvador,2004,1.041498,6004632,11.488363
El Salvador,2005,1.0486518,6005527,11.278455
El Salvador,2006,1.119211,6002275,7.650643
El Salvador,2007,1.1390756,6009768,5.0684905
El Salvador,2008,1.0622752,6029245,7.7175083
El Salvador,2009,1.0436863,6048234,7.41996
El Salvador,2010,1.0412687,6068202,6.345635
El Salvador,2011,1.0672126,6090075,5.3409295
El Salvador,2012,1.0585476,6113926,4.6371474
El Salvador,2013,0.99277955,6138797,3.6247292
El Salvador,2014,0.9980938,6162903,3.4414842
El Salvador,2015,1.0782957,6183621,2.308848
El Salvador,2016,1.0637066,6200765,2.632982
El Salvador,2017,0.9607652,6213485,2.1554992
El Salvador,2018,1.0068917,6219738,1.8427663
El Salvador,2019,1.2138822,6222267,1.4019152
El Salvador,2021,1.211914,6255737,3.5861862
El Salvador,2022,1.2420157,6280269,3.363398
Estonia,2003,12.584402,1370799,2.5094907
Estonia,2004,12.712316,1362623,1.0788711
Estonia,2005,12.614255,1354799,0.81168425
Estonia,2006,12.205063,1346833,0.823972
Estonia,2007,14.866046,1340672,0.4253237
Estonia,2008,13.324143,1337032,0.38617754
Estonia,2009,10.794397,1334487,0.5550371
Estonia,2010,14.244142,1331406,0.7922196
Estonia,2011,14.275455,1327315,0.97961545
Estonia,2012,13.42947,1322570,0.73973876
Estonia,2013,14.898127,1317872,0.8596548
Estonia,2014,14.290873,1314402,0.8305271
Estonia,2015,12.003931,1314538,0.6000405
