name,score,episodes,episode_group,type
Princess Tutu Recaps,6.8,3.0,2-6,Special
Kingdom of Chaos: Born to Kill,5.68,4.0,2-6,OVA
Mai-Otome 0: S.ifr,7.45,3.0,2-6,OVA
IGPX: Immortal Grand Prix (2005),7.18,13.0,7-13,TV
Bakutou Sengen Daigunder,6.75,39.0,27-52,TV
Kinnikuman: Kinnikusei Oui Soudatsu-hen,6.92,46.0,27-52,TV
Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,6.8,2.0,2-6,OVA
Gundam Evolve,6.78,15.0,14-26,OVA
Vampiyan Kids,6.2,23.0,14-26,TV
Potemayo Specials,7.4,6.0,2-6,Special
Gasshin Sentai Mechander Robo,6.1,35.0,27-52,TV
Yatterman,6.65,60.0,53-100,TV
Aria The Origination,8.57,13.0,7-13,TV
Hatenkou Yuugi,7.24,10.0,7-13,TV
H2O: Footprints in the Sand,7.17,12.0,7-13,TV
Romance wa Tsurugi no Kagayaki II,6.25,6.0,2-6,OVA
Septem Charm Magical Kanan,6.07,4.0,2-6,OVA
Megachu!,6.63,3.0,2-6,OVA
Momiji,6.32,4.0,2-6,OVA
Muteki Koujin Daitarn 3,7.17,40.0,27-52,TV
Moke Moke Taishou Dendo Musume Arisa,6.14,2.0,2-6,OVA
Heartwork: Symphony of Destruction,6.29,3.0,2-6,OVA
Dr. Slump,7.07,74.0,53-100,TV
Montana Jones,7.06,52.0,27-52,TV
Kikou Keisatsu Metal Jack,6.3,37.0,27-52,TV
Uchuusen Sagittarius,6.92,77.0,53-100,TV
Kimi ga Nozomu Eien: Next Season,7.01,4.0,2-6,OVA
Wagaya no Oinari-sama.,7.27,24.0,14-26,TV
Discode: Ijou Seiai,6.36,3.0,2-6,OVA
Yuusha Exkaiser,6.62,48.0,27-52,TV
Giant Gorg,7.33,26.0,14-26,TV
Izumo (2003),6.22,5.0,2-6,OVA
Stop!! Hibari-kun!,7.14,35.0,27-52,TV
Jokuana,5.83,2.0,2-6,OVA
Haikara-san ga Tooru,7.4,42.0,27-52,TV
Mnemosyne: Mnemosyne no Musume-tachi,7.41,6.0,2-6,TV
Mikan Enikki,7.33,30.0,27-52,TV
Kiddy GiRL-AND,6.93,24.0,14-26,TV
Kininaru Kimochi,6.22,4.0,2-6,OVA
Fortune Dogs,6.6,39.0,27-52,TV
Kure-nai,7.45,12.0,7-13,TV
Amatsuki,6.98,13.0,7-13,TV
UFO Senshi Dai Apolon,6.31,26.0,14-26,TV
RD Sennou Chousashitsu,7.18,26.0,14-26,TV
Persona: Trinity Soul,6.67,26.0,14-26,TV
Shoubushi Densetsu Tetsuya,7.59,20.0,14-26,TV
Natural: Another,6.08,2.0,2-6,OVA
Ginga Eiyuu Densetsu Gaiden,8.18,24.0,14-26,OVA
RGB Adventure,5.19,6.0,2-6,TV
Kirepapa.,6.92,2.0,2-6,OVA
Tres Marias: Sannin no Sei Shojo,5.54,2.0,2-6,OVA
Leatherman,5.96,5.0,2-6,OVA
Mikagura Tanteidan,5.96,3.0,2-6,OVA
Hana Dorei,5.66,2.0,2-6,OVA
Korashime,5.97,2.0,2-6,OVA
Mi-da-ra,5.82,3.0,2-6,OVA
Dorei Ichiba,6.34,3.0,2-6,OVA
Majokko Megu-chan,6.72,72.0,53-100,TV
Bus Gamer,6.61,3.0,2-6,TV
Hoshi no Umi no Amuri,5.86,3.0,2-6,OVA
Maicching Machiko-sensei,6.55,95.0,53-100,TV
Dark,5.61,2.0,2-6,OVA
Shin Hurricane Polymar,5.94,2.0,2-6,OVA
Rokushin Gattai GodMars,6.5,64.0,53-100,TV
The Guts!,6.4,2.0,2-6,OVA
iDOLM@STER Xenoglossia Specials,6.13,9.0,7-13,Special
Blassreiter,7.01,24.0,14-26,TV
Sky Girls Specials,6.6,9.0,7-13,Special
Haitoku no Shoujo,5.88,2.0,2-6,OVA
Hula Kappa,5.61,78.0,53-100,TV
Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.48,4.0,2-6,OVA
Jungle no Ouja Taa-chan,7.23,50.0,27-52,TV
Shigofumi,7.55,12.0,7-13,TV
Donburi Kazoku,5.95,2.0,2-6,OVA
Porphy no Nagai Tabi,7.11,52.0,27-52,TV
Meiken Lassie,6.86,26.0,14-26,TV
Oni-Tensei,6.3,4.0,2-6,OVA
Chou Mashin Eiyuuden Wataru,7.08,51.0,27-52,TV
Go-Q-Choji Ikkiman,6.61,32.0,27-52,TV
Joou Heika no Petite Angie,6.52,26.0,14-26,TV
Mister Ajikko,7.25,99.0,53-100,TV
Moero! Top Striker,6.74,49.0,27-52,TV
Darcrows,5.81,2.0,2-6,OVA
Ninpou Midare Karakuri,6.17,2.0,2-6,OVA
The☆Ultraman,6.52,50.0,27-52,TV
Mad★Bull 34,6.35,4.0,2-6,OVA
Kamichu! Specials,7.56,4.0,2-6,Special
Space Oz no Bouken,6.27,26.0,14-26,TV
Onna Kyoushi,6.17,3.0,2-6,OVA
Kowaremono,5.76,3.0,2-6,OVA
To LOVE-Ru,7.23,26.0,14-26,TV
Vampire Knight,7.27,13.0,7-13,TV
Pi Po Pa Po Patrol-kun,5.9,65.0,53-100,TV
Bosco Daibouken,7.18,26.0,14-26,TV
Gensou Jotan Ellcia,6.02,4.0,2-6,OVA
Kemeko Deluxe!,6.68,12.0,7-13,TV
Nogizaka Haruka no Himitsu,7.3,12.0,7-13,TV
Maria-sama ga Miteru Specials,7.5,7.0,7-13,Special
Maria-sama ga Miteru: Haru Specials,7.46,6.0,2-6,Special
Special A,7.7,24.0,14-26,TV
Mrs. Junkie,6.81,2.0,2-6,OVA
Taimanin Asagi,7.03,4.0,2-6,OVA
Madonna,6.38,2.0,2-6,OVA
Ghost in the Shell: Stand Alone Complex 2nd GIG - Tachikoma na Hibi,7.3,26.0,14-26,Special
Yuusha Tokkyuu Might Gaine,7.08,47.0,27-52,TV
Ryuusei no Rockman Tribe,7.07,21.0,14-26,TV
DinoZone,5.76,5.0,2-6,OVA
"Yume Miru, Anime: on-chan",6.56,26.0,14-26,TV
Wellber no Monogatari: Sisters of Wellber Zwei,6.92,13.0,7-13,TV
Kanokon,6.63,12.0,7-13,TV
Yuusha Shirei Dagwon,7.15,48.0,27-52,TV
Tanjou: Debut,5.08,2.0,2-6,OVA
Noramimi,6.41,12.0,7-13,TV
Saint Seiya: Meiou Hades Elysion-hen,7.72,6.0,2-6,OVA
Garakuta-doori no Stain,6.8,13.0,7-13,TV
Mahou Shoujo Meruru,5.7,2.0,2-6,OVA
Lesbian Byoutou,5.47,2.0,2-6,OVA
Kowaremono II,5.88,2.0,2-6,OVA
Virtuacall 2,5.32,2.0,2-6,OVA
Gakuentoshi Varanoir Joukan,4.12,2.0,2-6,OVA
Seijuuden: Twin Dolls,5.7,2.0,2-6,OVA
Neko Ramen,6.4,13.0,7-13,ONA
Youshou,5.31,2.0,2-6,OVA
Cleavage,6.75,2.0,2-6,OVA
Dorei Kaigo,6.26,3.0,2-6,OVA
Utsukushiki Emono-tachi no Gakuen,5.55,2.0,2-6,OVA
Kiss yori...,5.89,3.0,2-6,OVA
Allison to Lillia,7.38,26.0,14-26,TV
Midori no Makibao,6.61,61.0,53-100,TV
Dragon Rider,5.73,2.0,2-6,OVA
Reyon Densetsu Flair,5.21,2.0,2-6,OVA
Shoujo Auction,6.04,2.0,2-6,OVA
Doukyuusei (OVA): Natsu no Owari ni,5.71,4.0,2-6,OVA
Stringendo: Angel-tachi no Private Lesson,7.53,12.0,7-13,OVA
Dennou Boukenki Webdiver,7.11,52.0,27-52,TV
Ganbarist! Shun,7.37,30.0,27-52,TV
Injuu Seisen: Twin Angels,5.81,4.0,2-6,OVA
Mach GoGoGo (1997),6.39,34.0,27-52,TV
Macross F,7.97,25.0,14-26,TV
Moegaku★5,5.7,40.0,27-52,TV
Switch,7.04,2.0,2-6,OVA
Kodai Ouja Kyouryuu King,6.11,49.0,27-52,TV
Kyouran Kazoku Nikki,7.33,26.0,14-26,TV
Daraku: Onna Kyoushi Hakai,6.16,3.0,2-6,OVA
Getter Robo,6.95,51.0,27-52,TV
Ijoku,5.74,2.0,2-6,OVA
Requiem,5.27,2.0,2-6,OVA
Injuu Nerawareta Idol,4.8,1.0,1,OVA
Isaku,5.7,3.0,2-6,OVA
Isaku: Respect,5.66,3.0,2-6,OVA
Soul Eater,8.01,51.0,27-52,TV
Utawarerumono OVA,7.27,3.0,2-6,OVA
Tears to Tiara,7.26,26.0,14-26,TV
Shin Kujakuou,6.11,2.0,2-6,OVA
Sengoku Kitan Youtouden,6.03,3.0,2-6,OVA
Hidamari Sketch x 365,7.86,13.0,7-13,TV
Princess Army: Wedding★Combat,5.33,2.0,2-6,OVA
Kikou Kantai Dairugger XV,6.55,52.0,27-52,TV
Yakushiji Ryouko no Kaiki Jikenbo,7.14,13.0,7-13,TV
Neo Angelique Abyss,6.96,13.0,7-13,TV
Kamen no Maid Guy,7.1,12.0,7-13,TV
Moyashimon: Kin Gekijou Deluxe,6.82,4.0,2-6,Special
Nanako SOS,6.36,39.0,27-52,TV
Blue Seed Omake,7.0,14.0,14-26,Special
Ikusa Otome Suvia,6.59,4.0,2-6,OVA
Mobile Suit Gundam Wing: Operation Meteor,7.6,4.0,2-6,OVA
D.C.II S.S.: Da Capo II Second Season,7.31,13.0,7-13,TV
Ingoku Byoutou,5.93,2.0,2-6,OVA
Aoi Blink,6.86,39.0,27-52,TV
Warau Kangofu The Animation,6.79,2.0,2-6,OVA
Bouken Yuuki Pluster World,6.15,52.0,27-52,TV
Kaiketsu Zorori (TV),7.2,52.0,27-52,TV
Princess Road: Bara to Dokuro no Monshou,5.4,1.0,1,OVA
Naisho no Tsubomi,6.68,3.0,2-6,OVA
Uchiyama Aki,5.7,3.0,2-6,OVA
Shownoid Mako-chan,5.5,2.0,2-6,OVA
Higurashi no Naku Koro ni Rei,7.52,5.0,2-6,OVA
Kurogane no Linebarrels,7.03,24.0,14-26,TV
Nabari no Ou,7.38,26.0,14-26,TV
Monochrome Factor,7.08,24.0,14-26,TV
Mahou no Idol Pastel Yumi,6.42,25.0,14-26,TV
Ginga Eiyuu Densetsu Gaiden (1999),8.09,28.0,27-52,OVA
Strike Witches,7.09,12.0,7-13,TV
Telepathy Shoujo Ran,6.69,26.0,14-26,TV
Kikou Souseiki Mospeada,7.21,25.0,14-26,TV
Tottemo! Luckyman,6.92,50.0,27-52,TV
Nijuu Mensou no Musume,7.61,22.0,14-26,TV
Machine Robo: Cronos no Dai Gyakushuu,6.37,47.0,27-52,TV
Renketsu Houshiki,6.8,3.0,2-6,OVA
Ai no Katachi: Ecchi na Onnanoko wa Kirai... Desu ka?,6.31,2.0,2-6,OVA
Tokyo Requiem,5.84,2.0,2-6,OVA
Hatsumei Boy Kanipan,6.76,31.0,27-52,TV
Chou Hatsumei Boy Kanipan,6.8,21.0,14-26,TV
Watashi to Watashi: Futari no Lotte,6.89,29.0,27-52,TV
Yes! Precure 5 GoGo!,7.25,48.0,27-52,TV
Kaiba,8.22,12.0,7-13,TV
Detroit Metal City,8.21,12.0,7-13,OVA
Zenryoku Usagi,6.44,52.0,27-52,TV
Flashback Game,5.46,3.0,2-6,OVA
Seikoujo: Haitoku no Biden Dorei,6.05,2.0,2-6,OVA
Soukou Kijo Iris,6.71,4.0,2-6,OVA
Hakaba Kitarou,6.97,11.0,7-13,TV
After... The Animation,5.83,2.0,2-6,OVA
Zero no Tsukaima: Princesses no Rondo,7.54,12.0,7-13,TV
Jigoku Shoujo Mitsuganae,7.73,26.0,14-26,TV
Koala Boy Kokki,6.26,26.0,14-26,TV
Taiko no Tatsujin,6.18,26.0,14-26,TV
True Blue,6.05,2.0,2-6,OVA
Itazura na Kiss,7.68,25.0,14-26,TV
Glass no Kamen: Sen no Kamen wo Motsu Shoujo,7.13,3.0,2-6,OVA
Ryuuseiki Gakusaver,6.58,6.0,2-6,OVA
Parappa the Rapper,5.94,30.0,27-52,TV
Usavich,7.06,13.0,7-13,TV
Usavich II,7.2,13.0,7-13,TV
Inyouchuu The Animation,6.49,2.0,2-6,OVA
Maria-sama ga Miteru 4th,7.9,13.0,7-13,TV
Tongari Boushi no Memole,7.04,50.0,27-52,TV
Wanwan Sanjuushi,6.79,26.0,14-26,TV
Chouon Senshi Borgman 2: Shin Seiki 2058,5.88,3.0,2-6,OVA
Pygmalio,6.9,39.0,27-52,TV
Play Ball,6.08,13.0,7-13,TV
Play Ball 2nd,6.16,13.0,7-13,TV
"Nee, Chanto Shiyou Yo!",7.11,5.0,2-6,OVA
Saiko Robot Kombock,5.44,25.0,14-26,TV
Go! Go! Itsutsugo Land,6.61,50.0,27-52,TV
Yuukan Club,5.89,2.0,2-6,OVA
Dyogrammaton,5.36,2.0,2-6,OVA
Hana to Hebi The Animation,6.0,3.0,2-6,OVA
Arrow Emblem Grand Prix no Taka,6.57,44.0,27-52,TV
Gakuen Nanafushigi,6.3,2.0,2-6,OVA
Kaitou Tenshi Twin Angel,6.03,2.0,2-6,OVA
Sasuga no Sarutobi,6.64,69.0,53-100,TV
Honoo no Alpenrose: Judy & Randy,6.96,20.0,14-26,TV
Futari Daka,6.15,36.0,27-52,TV
Shirayuki Hime no Densetsu,6.71,52.0,27-52,TV
Mori no Youki na Kobito-tachi: Belfy to Lillibit,6.54,26.0,14-26,TV
Hoshi no Oujisama Petit Prince,6.88,35.0,27-52,TV
Yume no Hoshi no Button Nose,6.51,26.0,14-26,TV
Sasurai no Taiyou,6.3,26.0,14-26,TV
Sougen no Shoujo Laura,6.45,26.0,14-26,TV
Little Lulu to Chicchai Nakama,6.61,26.0,14-26,TV
Ore wa Teppei,6.81,28.0,27-52,TV
Issunboushi (OVA),6.16,2.0,2-6,OVA
Hoshi no Ko Chobin,6.18,26.0,14-26,TV
Ai no Gakkou Cuore Monogatari,6.77,26.0,14-26,TV
Meiken Jolie,6.81,52.0,27-52,TV
Mashin Eiyuuden Wataru,7.06,45.0,27-52,TV
Himitsu no Akko-chan 2,6.34,61.0,53-100,TV
Himitsu no Akko-chan 3,6.28,44.0,27-52,TV
Crystal Blaze,6.19,12.0,7-13,TV
Microid S,5.92,26.0,14-26,TV
Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,6.91,4.0,2-6,OVA
Konchuu Monogatari Minashigo Hutch,6.46,91.0,53-100,TV
Top Secret: The Revelation,7.38,26.0,14-26,TV
Shaman King Specials,7.37,5.0,2-6,Special
Sweet Valerian Specials,5.84,8.0,7-13,Special
Souten no Ken Specials,6.41,4.0,2-6,Special
Sakura Momoko Gekijou: Coji-Coji,6.8,100.0,53-100,TV
Kick no Oni,6.61,26.0,14-26,TV
Honey Honey no Suteki na Bouken,6.59,29.0,27-52,TV
Ashita e Free Kick,6.64,52.0,27-52,TV
Mahoutsukai Sally 2,6.47,88.0,53-100,TV
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,6.45,26.0,14-26,TV
Sasurai no Shoujo Nell,6.28,26.0,14-26,TV
Mahou Shoujo Lalabel,6.5,49.0,27-52,TV
Paris no Isabelle,6.16,13.0,7-13,TV
Makyou Densetsu Acrobunch,6.28,24.0,14-26,TV
Majokko Tickle,6.33,45.0,27-52,TV
YU-NO,5.21,4.0,2-6,OVA
Sugar Bunnies,6.32,26.0,14-26,TV
Toumei Ningen (OVA),6.68,2.0,2-6,OVA
Inbo,6.12,3.0,2-6,OVA
Baccano! Specials,8.22,3.0,2-6,Special
Spotlight,5.59,2.0,2-6,OVA
Ginga Sengoku Gunyuuden Rai,8.06,52.0,27-52,TV
Injuu Kyoushi,5.66,4.0,2-6,OVA
Bikkuriman,6.45,75.0,53-100,TV
Shuukaku no Yoru,6.09,2.0,2-6,OVA
Rejuvenation,5.43,2.0,2-6,OVA
Onikirimaru,6.32,4.0,2-6,OVA
Time Bokan,6.6,61.0,53-100,TV
Magical Witch Academy: Boku to Sensei no Magical Lesson The Animation,6.35,2.0,2-6,OVA
Hitozuma Cosplay Kissa 2: Hitozuma LoveLove - Cosplay OVA,6.53,2.0,2-6,OVA
Resort Boin,7.39,3.0,2-6,OVA
Shimaizuma: Shimaizuma 3 The Animation,6.87,2.0,2-6,OVA
Mahou Senshi Sweet Knights: Heroine Ryoujoku Shirei,5.79,2.0,2-6,OVA
Kamyla,5.76,3.0,2-6,OVA
Reiju Gakuen,5.74,2.0,2-6,OVA
Mobile Suit Gundam 00 Second Season,8.17,25.0,14-26,TV
Magnerobo Ga-Keen,6.38,39.0,27-52,TV
Karakuri Kiden: Hiwou Senki,6.64,26.0,14-26,TV
Personal Computer Travel Tanteidan,6.2,26.0,14-26,TV
Takoyaki Mant-Man,6.5,77.0,53-100,TV
Kafun Shoujo Chuuihou! The Animation,7.19,4.0,2-6,OVA
Oshiete Re: Maid,6.69,2.0,2-6,OVA
Rensa Byoutou,6.95,2.0,2-6,OVA
Binetsu Shoukougun,5.49,2.0,2-6,OVA
Dokidoki Oyako Lesson: Oshiete H na Obenkyou,6.71,2.0,2-6,OVA
Kakyuusei 2: Sketchbook,6.1,2.0,2-6,OVA
Jarinko Chie (TV),6.77,64.0,53-100,TV
Mahou Sensei Negima! Introduction Film,6.8,3.0,2-6,OVA
Shimai Ijiri,5.86,2.0,2-6,OVA
DNA Hunter,5.6,3.0,2-6,OVA
Shakugan no Shana II (Second) Specials,7.29,3.0,2-6,Special
Kannagi,7.38,13.0,7-13,TV
Chocolate Underground,6.22,13.0,7-13,ONA
Dragoon,5.81,3.0,2-6,OVA
Kagaku Kyuujo-tai TechnoVoyager,6.21,18.0,14-26,TV
Sentakuya Shin-chan,7.03,2.0,2-6,OVA
Ikuze! Gen-san,5.86,24.0,14-26,ONA
Tetsuwan Birdy Decode,7.51,13.0,7-13,TV
Mamahaha,5.71,2.0,2-6,OVA
To Heart Omake,6.37,6.0,2-6,Special
Bi-Indoushi Miija: Injoku no Gakuen,5.36,2.0,2-6,OVA
Shokuzai no Kyoushitsu,5.32,2.0,2-6,OVA
Kairaku Satsujin Chousakan Kouji,5.79,3.0,2-6,OVA
Mujintou Monogatari X,5.53,4.0,2-6,OVA
Himekishi Lilia,6.93,6.0,2-6,OVA
Tokubetsu Byoutou,6.52,2.0,2-6,OVA
Tokumu Sousakan Rei & Fuko,6.33,4.0,2-6,OVA
Canary wa Kago no Naka,6.17,2.0,2-6,OVA
Dream Hunter Rem,6.1,4.0,2-6,OVA
Inda no Himekishi Janne,6.46,2.0,2-6,OVA
Heisa Byoutou,6.06,2.0,2-6,OVA
Alignment You! You! The Animation,6.86,2.0,2-6,OVA
Binetsukko ♭37℃ The Animation,6.12,2.0,2-6,OVA
Paul no Miracle Daisakusen,6.62,50.0,27-52,TV
Choujin Locke: Lord Leon,6.21,3.0,2-6,OVA
School Rumble San Gakki,7.37,2.0,2-6,OVA
Seiyou Kottou Yougashiten: Antique,7.13,12.0,7-13,TV
Kitty's Paradise,6.38,16.0,14-26,TV
Sanrio Anime Sekai Meisaku Gekijou,6.33,13.0,7-13,TV
Asobou! Hello Kitty,6.33,26.0,14-26,TV
Makai Tenshi Djibril: Episode 2,6.61,4.0,2-6,OVA
Slayers Revolution,7.35,13.0,7-13,TV
Sailor Senshi Venus♥Five,5.41,2.0,2-6,OVA
Zettai Karen Children,7.41,51.0,27-52,TV
Golgo 13 (TV),7.58,50.0,27-52,TV
Mafukiden: Pandarian,6.24,26.0,14-26,TV
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,6.79,52.0,27-52,TV
Net Ghost Pipopa,6.98,51.0,27-52,TV
Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,8.1,7.0,7-13,OVA
Norimono Oukoku BuBu ChaCha,6.85,26.0,14-26,TV
Masuda Kousuke Gekijou Gag Manga Biyori 3,7.22,12.0,7-13,TV
Inyouchuu Shoku: Ryoushokutou Taimaroku,6.46,2.0,2-6,OVA
Grimm Masterpiece Theater,7.55,24.0,14-26,TV
Grimm Masterpiece Theater II,7.48,23.0,14-26,TV
Musashi no Ken,7.32,72.0,53-100,TV
Sekirei,7.3,12.0,7-13,TV
Tytania,6.87,26.0,14-26,TV
Shin Megami Tensei Devil Children,6.51,50.0,27-52,TV
Shin Megami Tensei Devil Children: Light & Dark,6.47,52.0,27-52,TV
Pucca (ONA),6.65,46.0,27-52,ONA
Kyouryuu Daisensou Izenborg,6.92,39.0,27-52,TV
Kyou kara Maou! 3rd Series,7.92,39.0,27-52,TV
Natsume Yuujinchou,8.38,13.0,7-13,TV
Wonder Beat Scramble,6.77,26.0,14-26,TV
Inma Youjo,6.09,5.0,2-6,OVA
Muka Muka Paradise,6.93,51.0,27-52,TV
Michiko to Hatchin,7.88,22.0,14-26,TV
Wan Wan Celepoo Soreyuke! Tetsunoshin,6.67,51.0,27-52,TV
Mini Moni the TV,5.67,15.0,14-26,TV
Mahou no Mako-chan,6.4,48.0,27-52,TV
Onegai My Melody: Kuru Kuru Shuffle!,7.35,52.0,27-52,TV
Juushin Liger,6.7,43.0,27-52,TV
Meimon! Daisan Yakyuubu,6.45,40.0,27-52,TV
Petit Eva: Evangelion@School,5.85,24.0,14-26,ONA
Twin Bee Paradise,6.46,4.0,2-6,OVA
Wakakusa no Yon Shimai,6.55,26.0,14-26,TV
Penguin Musume♥Heart,6.81,22.0,14-26,ONA
Chiisana Penguin Lolo no Bouken,7.45,3.0,2-6,OVA
Blade of the Immortal,6.88,13.0,7-13,TV
Time Bokan Series: Yattodetaman,6.55,52.0,27-52,TV
Kounai Shasei,6.12,3.0,2-6,OVA
To Heart 2 AD,6.97,2.0,2-6,OVA
Shigofumi Picture Drama,6.64,7.0,7-13,Special
Bounen no Xamdou,7.75,26.0,14-26,ONA
Clannad: After Story,9.0,24.0,14-26,TV
Uchuu Taitei God Sigma,6.6,50.0,27-52,TV
Chrome Shelled Regios,7.48,24.0,14-26,TV
Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,7.58,3.0,2-6,OVA
Winter Sonata,7.48,26.0,14-26,TV
Popolocrois Monogatari,7.15,25.0,14-26,TV
Hayate no Gotoku!!,7.83,25.0,14-26,TV
Ikkitousen: Great Guardians,6.89,12.0,7-13,TV
Blue Dragon: Tenkai no Shichi Ryuu,6.66,51.0,27-52,TV
Koutetsu Jeeg,7.2,46.0,27-52,TV
Entaku no Kishi Monogatari: Moero Arthur,6.52,30.0,27-52,TV
Dirty Pair OVA,7.2,10.0,7-13,OVA
Mokke Specials,7.02,2.0,2-6,Special
Tetsujin 28-gou (1980),6.96,51.0,27-52,TV
Mission-E,6.53,12.0,7-13,TV
Hareluya II Boy,6.65,25.0,14-26,TV
Rosario to Vampire Capu2,7.15,13.0,7-13,TV
Toradora!,8.38,25.0,14-26,TV
Mobile Suit Gundam MS IGLOO 2: Gravity of the Battlefront,6.9,3.0,2-6,OVA
Ginga Senpuu Braiger,6.86,39.0,27-52,TV
Ginga Reppuu Baxingar,6.39,39.0,27-52,TV
Ginga Shippuu Sasuraiger,6.52,43.0,27-52,TV
Explorer Woman Ray,5.41,2.0,2-6,OVA
Five Card,5.6,4.0,2-6,OVA
Koihime†Musou,6.84,12.0,7-13,TV
Ultraviolet: Code 044,5.98,12.0,7-13,TV
Vie Durant,4.91,8.0,7-13,ONA
Shishunki Shoujo,6.55,2.0,2-6,OVA
Bonobono (TV),7.06,48.0,27-52,TV
Futari no Joe,6.1,6.0,2-6,OVA
Kodomo no Jikan,6.33,7.0,7-13,OVA
Nanami-chan 2nd Series,6.5,16.0,14-26,TV
Nanami-chan 3rd Series,6.36,16.0,14-26,TV
Ryuu Seiki,5.79,2.0,2-6,OVA
Penguin no Mondai,6.25,100.0,53-100,TV
Seigi wo Aisuru Mono Gekkou Kamen,6.81,39.0,27-52,TV
Heroman,6.9,26.0,14-26,TV
Ashita e Attack!,6.63,23.0,14-26,TV
Tower of Etruria,5.85,2.0,2-6,OVA
Harukoi Otome,6.7,2.0,2-6,OVA
Megami Kyouju,5.69,2.0,2-6,OVA
Gakuen Heaven: Hamu Hamu Heaven,6.84,12.0,7-13,Special
Tsuukin Kairaku: Chikan de Go!!,5.84,2.0,2-6,OVA
Innocent Blue,6.03,2.0,2-6,OVA
El,5.48,2.0,2-6,OVA
Aniyome wa Ijippari,7.14,2.0,2-6,OVA
Uchuu Kaizoku Sara,6.95,4.0,2-6,OVA
Grenadier: Hohoemi no Senshi Specials,6.63,7.0,7-13,Special
Fireball,6.77,13.0,7-13,TV
Chikan Densha,6.24,2.0,2-6,OVA
Kunoichi Gakuen Ninpouchou,5.11,6.0,2-6,OVA
Kyoro-chan,7.31,91.0,53-100,TV
Inmu: Ikenie no Utage,5.83,2.0,2-6,OVA
Suzumiya Haruhi no Yuuutsu (2009),7.26,14.0,14-26,TV
Catman Series III,6.45,6.0,2-6,TV
Honoo no Haramase Tenkousei,6.84,3.0,2-6,OVA
Inmu 2,5.73,2.0,2-6,OVA
Mirai Robo Daltanias,6.79,47.0,27-52,TV
World Destruction: Sekai Bokumetsu no Rokunin,7.05,13.0,7-13,TV
Moetan Specials,6.56,2.0,2-6,Special
Tatakae!! Ramenman,6.57,35.0,27-52,TV
Duel Masters Charge,6.3,52.0,27-52,TV
Chrno Crusade: Az demo Wakaru Chrno Crusade Kouza,6.65,11.0,7-13,Special
Tanin no Kankei,6.27,2.0,2-6,OVA
Nagagutsu wo Haita Neko no Bouken,6.73,26.0,14-26,TV
Gene Diver,6.4,56.0,53-100,TV
Shoujo Sect,6.82,3.0,2-6,OVA
Nodame Cantabile: Paris-hen,8.23,11.0,7-13,TV
Shitsurakuen,5.5,2.0,2-6,OVA
Ryoujoku Guerrilla Kari 3,6.12,2.0,2-6,OVA
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,7.35,12.0,7-13,TV
Kasei Yakyoku,6.83,4.0,2-6,OVA
Getter Robo G,6.73,39.0,27-52,TV
Ebenbourg no Kaze,5.75,2.0,2-6,OVA
Keraku-No-OH King of Pleasure,6.02,3.0,2-6,OVA
Septem Charm Magical Kanan: SP Summer Camp,5.9,2.0,2-6,Special
Choisuji,6.23,2.0,2-6,OVA
Stringendo+Accelerando Ultimatum Sera,7.35,3.0,2-6,OVA
Choujikuu Kidan Southern Cross,6.69,23.0,14-26,TV
Kinkyuu Hasshin Saver Kids,6.55,50.0,27-52,TV
D.C.S.S: Da Capo Second Season Omake,6.75,7.0,7-13,Special
Hoero! Bun Bun,6.43,39.0,27-52,TV
Seton Doubutsuki: Kuma no Ko Jacky,6.75,26.0,14-26,TV
Seton Doubutsuki: Risu no Banner,6.71,26.0,14-26,TV
Choujin Locke: Shinsekai Sentai,6.07,2.0,2-6,OVA
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,7.0,7.0,7-13,ONA
RoboDz,4.68,26.0,14-26,TV
Yozakura Quartet,6.9,12.0,7-13,TV
Hokuto no Ken: Raoh Gaiden Ten no Haoh,7.18,13.0,7-13,TV
Hyakko,7.3,13.0,7-13,TV
Hakushaku to Yousei,7.41,12.0,7-13,TV
Sukima no Kuni no Polta,5.44,13.0,7-13,TV
Dokkiri Doctor,6.51,26.0,14-26,TV
Yakata Jukujo,6.17,2.0,2-6,OVA
Mirai Choujuu Fobia,4.86,2.0,2-6,OVA
Yukiyo Ichiya Monogatari,5.83,3.0,2-6,OVA
Matou Kitan Zankan!,5.18,2.0,2-6,OVA
Zoku Gosenzo San'e,5.65,4.0,2-6,OVA
Chikan Juunin-tai The Animation,6.05,5.0,2-6,OVA
Bakukyuu Hit! Crash B-Daman,6.28,50.0,27-52,TV
Prism Ark Specials,6.22,6.0,2-6,Special
Saikyou Robot Daiouja,6.4,50.0,27-52,TV
Time Bokan Oudou Fukko,6.23,2.0,2-6,OVA
Shikabane Hime: Aka,7.32,13.0,7-13,TV
